id;price;address;neighborhood/city;rooms;garage;bathroom;square_meter;type;suite;gym;balcony;hall
460104;6900000;Itaipava; Petrópolis;8;parking6;2;245;6;0;0;0;0
630696;1550000;Rua Francisco Zuneda Ferreira da Costa; Bairro Alto;3;parking2;5;198;6;1;0;0;0
630601;1537000;Rua Caminho das Bromélias; Campeche;3;0;4;450;6;1;0;1;0
466245;50000;Passagem Mirandinha; Barreiro;2;parking1;2;70;6;0;0;0;0
827932;249000;QR 319 Conjunto 1; Samambaia Sul;4;parking2;3;120;9;0;0;0;0
992703;680000;Avenida Nigéria; Jardim Aclimação;3;parking2;2;81;2;0;0;0;0
597604;85000;Rua H; Parque D Pedro;3;parking1;2;95;6;1;0;0;0
23896;330000;Rua Dom Diogo de Souza; Parque Dez de Novembro;3;parking2;2;90;6;1;0;0;0
47690;219500;Centro; Barra dos Coqueiros;1;0;1;300;8;0;0;0;0
416366;240000;Rua Alvinópolis; Flores;2;parking2;1;58;6;0;0;0;0
481746;398500;Rua Antônio Joaquim de Souza; Jardim Alvorada;3;parking4;2;232;6;0;0;0;0
455271;350000;Rua Tomaz Edison; Santo Antônio;1;0;1;287;8;0;0;0;0
260334;60000;Avenida Engenheiro David Monteiro Lino; Centro;1;0;1;600;8;0;0;0;0
542473;49900;Centro; Nazaré Paulista;1;0;1;600;8;0;0;0;0
506340;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
951602;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
554789;240000;Rua Desembargador Luiz F. Cabral; Flores;2;parking2;1;58;6;0;0;0;0
278375;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
363941;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
447350;29990;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
827228;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
917802;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
604111;29900;Rua Big Kid; Aralú;1;0;1;500;8;0;0;0;0
392157;60000;Rua José Prianti Sobrinho; Centro;1;0;1;600;8;0;0;0;0
287174;398500;Rua Antônio Joaquim de Souza; Jardim Alvorada;3;parking4;2;232;6;0;0;0;0
21094;25000;Rua José Prianti Sobrinho; 415;1;0;1;500;8;0;0;0;0
285285;60000;Rua Marechal Deodoro; Centro;1;0;1;600;8;0;0;0;1
373624;29900;Rua Sergio Saleh Riman; Center Ville;1;0;1;500;8;0;0;0;0
484980;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
719053;330000;Rua Dom João VI; Parque Dez de Novembro;3;parking2;2;90;6;1;0;0;0
125809;29990;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
50763;180000;Rua Coronel Augusto Fernandes Maia; José Américo de Almeida;2;parking1;1;59;2;1;0;0;1
337743;555000;Rua Francisco Rabelo Leite Neto; Atalaia;3;parking2;3;98;2;1;0;0;1
230751;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
301083;35000;Centro; Santa Isabel;1;0;1;1000;8;0;0;0;0
177349;60000;Rua José Prianti Sobrinho; Centro;1;0;1;600;9;0;0;0;0
36990;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
947874;29900;Rua Habib Tanuri; Center Ville;1;0;1;500;8;0;0;0;0
243766;555000;Rua Francisco Rabelo Leite Neto; Atalaia;3;parking2;3;98;2;1;0;0;1
821318;35000;Rua Santa Isabel; Ouro Fino;1;0;1;1000;8;0;0;0;0
571717;25000;Rua José Prianti Sobrinho; Centro;1;0;1;500;8;0;0;0;0
53759;385000;Avenida Marechal Hermes da Fonseca; Bessa;3;parking1;2;71;2;1;0;1;0
22842;45000;Rua José Prianti Sobrinho; Centro;1;0;1;1000;8;0;0;0;0
696392;29999;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
279842;29900;Rua Albino Rodrigues Neves; Centro;1;0;1;500;8;0;0;0;0
554346;25000;Boa Vista; Igaratá;1;0;1;500;8;0;0;0;0
444584;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
158826;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
789580;198000;Rua Bancário Sérgio Guerra; Anatólia;2;parking1;1;76;2;1;0;1;0
190772;25000;Rua José Prianti Sobrinho; 415;1;0;1;500;8;0;0;0;0
793749;450000;Rua Doutor José Maria; Encruzilhada;3;parking1;2;62;2;1;0;1;0
156521;50000;Rua Acácia; Santa Inês;1;0;1;1000;8;0;0;0;0
498315;35000;Estrada do Ouro Fino; Centro;1;0;1;1000;8;0;0;0;0
913958;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
371272;399900;Rua Doutor José Maria; Encruzilhada;2;parking1;2;58;2;1;1;0;0
361695;29999;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
507218;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
205043;60000;Rua José Prianti Sobrinho; Centro;1;0;1;600;8;0;0;0;0
94906;60000;Rua Alfredo Schurig; Centro;1;0;1;600;8;0;0;0;1
346720;25000;Boa Vista; Igaratá;1;0;1;500;8;0;0;0;0
679390;360000;Rua Altair Nunes; Parque Dez de Novembro;3;parking2;1;85;6;0;0;0;0
568360;45000;Rua José Prianti Sobrinho; 415;1;0;1;1000;8;0;0;0;0
391263;320000;Rua Camboatá; Potecas;2;parking2;2;65;8;0;0;1;0
624990;35000;Rua Santa Isabel; Ouro Fino;1;0;1;1000;8;0;0;0;0
362412;35000;Centro; Santa Isabel;1;0;1;1000;8;0;0;0;0
403667;399000;Rua José Hipólito Cardoso; Boa Viagem;3;parking1;3;59;9;0;0;0;0
377047;45000;Centro; Igaratá;1;0;1;1000;8;0;0;0;0
470988;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
257048;365000;Rua Leandro Barreto; Jardim São Paulo;3;parking1;1;58;2;1;1;0;1
125140;29900;Avenida Marechal Castelo Branco; Jardim Rincão;1;0;1;500;8;0;0;0;0
456534;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
463977;424000;Rua Guido Rossini Neto; Jardim Roseira;3;parking2;2;130;6;1;0;0;0
617613;49900;Rua José Alvim; Centro;1;0;1;600;8;0;0;0;0
783609;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
108547;60000;Centro; Piracaia;1;0;1;600;8;0;0;0;0
620381;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
731723;0;Rua Tenente Pantaleão da Paixão; Treze de Maio;2;parking1;2;104;2;1;0;0;0
321756;35000;Estrada do Ouro Fino; Centro;1;0;1;1000;8;0;0;0;0
957248;260000;Rua Veneza; Centro;2;parking1;1;54;9;1;0;1;1
581274;35000;Rua Santa Isabel; Ouro Fino;1;0;1;1000;8;0;0;0;0
328001;45000;Rua José Prianti Sobrinho; 415;1;0;1;1000;8;0;0;0;0
202280;90000;Avenida das Linhas; Jardim Califórnia;1;0;1;1000;9;0;0;0;0
268944;35000;Estrada Bairro Ouro Fino; Ouro Fino;1;0;1;1000;8;0;0;0;0
519097;730000;Avenida das Letras; Loteamento Villa Branca;3;parking2;2;97;5;1;0;0;0
400212;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
979389;90000;Rua Francisco Monteoliva Lopes; Lagoa;1;0;1;500;8;0;0;0;0
145348;45000;Boa Vista; Igaratá;1;0;1;500;8;0;0;0;0
639101;60000;Rua José Prianti Sobrinho; Centro;1;0;1;600;8;0;0;0;0
944512;60000;Centro; Piracaia;1;0;1;600;8;0;0;0;0
996891;50000;Rua Acácia; Santa Inês;1;0;1;1000;8;0;0;0;0
873771;69999;Recanto das Águas; Igaratá;1;0;1;1000;9;0;0;0;1
813275;155000;Rua D; Conjunto Jacaraípe;3;parking1;2;60;2;0;0;0;0
19834;60000;Rua José Prianti Sobrinho; Centro;1;0;1;600;8;0;0;0;0
241890;50000;Travessa Alcebíades Fagundes; Centro;1;0;1;1000;8;0;0;0;0
139703;460000;Pousada Del Rey; Igarapé;3;parking4;1;180;6;0;0;0;0
133004;310000;Rua Araua; Parque Jandaia;5;parking2;3;125;6;0;0;1;0
824349;150000;Parque Alpina; Igaratá;1;0;1;300;9;0;0;0;0
171031;35000;Rua Santa Isabel; Ouro Fino;1;0;1;1000;8;0;0;0;0
937632;60000;Rua Miosótis; Usina;1;0;1;500;8;0;0;0;0
17005;410010;Avenida Augusto Franco; Getúlio Vargas;3;parking1;2;78;2;0;0;0;0
474250;2300000;Rua Nicolau Vitiello; Jardim Acapulco ;3;parking4;5;260;6;1;0;0;0
2221;1100000;Zona Rural; Paraibuna;3;0;1;150;9;1;0;0;0
515894;4250000;Avenida Coronel Miguel Dias; Guararapes;5;parking5;4;259;2;0;0;0;0
264137;349900;Rua João Fornari; Jardim Independencia;3;parking4;2;173;8;1;0;0;0
540745;350000;Rua Apeninos; Vila Albertina;3;parking4;3;250;5;1;0;0;0
174398;330000;Avenida da Saudade; Campos Eliseos;3;parking3;3;169;6;1;0;0;0
269259;340000;Rua Gedeon Alves Feitosa; Jardim Independencia;3;parking3;2;195;6;1;0;0;0
749422;280000;Rua Adalberto Pajuaba; Sumarezinho;3;parking2;2;168;6;1;0;0;0
461008;0;Rua Gabriel Carraro; Parque dos Servidores;2;parking2;2;143;6;1;0;0;0
892756;200000;Avenida Maestro Alfredo Pires; Jardim Heitor Rigon;3;parking3;4;190;6;1;0;0;0
552604;85000;Rua H; Parque D Pedro;3;parking1;2;95;6;1;0;0;0
761225;100000;Avenida Arco-Íris; Boa Viagem;3;parking1;2;100;9;0;0;0;0
298478;300000;Rua General Câmara; Ipiranga;3;parking2;2;100;6;1;0;0;0
682833;360000;Rua Doutor Roberto Mange; Vila Tamandaré;3;parking2;2;135;5;1;0;0;0
335263;250000;Avenida Octávio Golfeto; Jardim Jose Sampaio Junior;3;parking4;2;96;6;0;0;0;0
866992;350000;Rua Edgard Colombini; Jardim Arlindo Laguna;3;parking2;2;185;6;1;0;0;0
860188;65000;Largo da Valéria; Valéria;3;parking1;1;90;6;0;0;0;0
337320;418000;Rua Tenente Rosana Ribeiro Restini; Ribeirao Verde;4;parking2;3;151;6;1;0;0;0
792182;770000;Praça Platão; Vila Formosa;4;parking2;4;190;5;1;0;0;0
575966;300000;Rua General Câmara; Ipiranga;3;parking3;2;170;6;1;0;0;0
859097;398500;Rua Antônio Joaquim de Souza; Jardim Alvorada;3;parking4;2;232;6;0;0;0;0
620253;195000;Avenida Maestro Alfredo Pires; Jardim Heitor Rigon;2;parking2;2;117;6;1;0;0;0
652248;152000;Rua Everton Coelho; Dezoito do Forte;3;parking1;2;70;2;1;0;0;1
650276;450000;Rua Cravinhos; Jardim Paulistano;3;parking3;4;135;6;1;0;0;0
754159;540000;Rua José Barense; Greenville;3;parking2;3;143;6;1;0;0;0
492908;350000;Rua Adalberto Pajuaba; Sumarezinho;3;parking2;1;130;6;1;0;0;0
798810;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
827745;495000;Rua José de Paula; Centro;3;parking2;3;146;7;0;0;0;0
688577;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
392819;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
397177;265000;Rua Álvares de Azevedo; Vila Tibério;3;parking4;2;113;5;0;0;0;0
775407;49900;Rua Marechal Deodoro; Centro;1;0;1;600;8;0;0;0;0
58119;220000;Rua Francisco Buonvicini; Jardim Jandaia;2;parking4;2;170;6;0;0;0;0
144049;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
791182;60000;Avenida Cléo de Verberena; Altos de Santana I ;1;0;1;600;8;0;0;0;0
216982;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
770438;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
230787;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
68826;310000;Rua Camilo de Mattos; Jardim Mosteiro;2;parking2;2;110;6;0;0;0;0
359136;60000;Rua Marechal Deodoro; Centro;1;0;1;600;8;0;0;0;1
459770;29900;Rua Sergio Saleh Riman; Center Ville;1;0;1;500;8;0;0;0;0
309141;390000;Avenida Monteiro Lobato; VILA VIRGINIA;3;parking2;2;180;5;0;0;0;0
305948;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
111828;375000;Rua José Arigó; Jardim Novo Mundo;3;parking4;2;260;6;1;0;0;0
248904;510000;Rua Professora Edina Rocha de Freitas; Jardim Macedo;3;parking4;3;200;6;1;0;0;0
947042;390000;Avenida Ivo Pareschi; Planalto Verde I;3;parking3;3;162;6;1;0;0;0
126099;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
513078;60000;Rua José Prianti Sobrinho; Centro;1;0;1;600;9;0;0;0;0
863586;550000;Rua Marechal Mascarenhas de Morais; Parque Industrial Lagoinha;3;parking4;4;265;9;1;0;0;0
997179;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
238044;35000;Rua Santa Isabel; Ouro Fino;1;0;1;1000;8;0;0;0;0
454894;385000;Avenida Marechal Hermes da Fonseca; Bessa;3;parking1;2;71;2;1;0;1;0
273928;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
229759;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
83905;198000;Rua Bancário Sérgio Guerra; Anatólia;2;parking1;1;76;2;1;0;1;0
184605;55000;Recanto das Águas; Igaratá;1;0;1;600;8;0;0;0;1
833450;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
258951;35000;Estrada do Ouro Fino; Centro;1;0;1;1000;8;0;0;0;0
493009;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
897373;29999;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
677558;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
612805;60000;Rua José Prianti Sobrinho; Centro;1;0;1;600;8;0;0;0;0
328336;499900;Avenida Octávio Golfeto; Jardim Jose Sampaio Junior;3;parking3;2;111;6;0;0;0;0
10322;45000;Rua José Prianti Sobrinho; 415;1;0;1;1000;8;0;0;0;0
778866;45000;Rua José Prianti Sobrinho; 415;1;0;1;1000;8;0;0;0;0
224236;35000;Centro; Santa Isabel;1;0;1;1000;8;0;0;0;0
325887;45000;Centro; Igaratá;1;0;1;1000;8;0;0;0;0
877100;49900;Centro; Nazaré Paulista;1;0;1;600;8;0;0;0;0
318061;200000;Rua Álvares de Azevedo; Vila Tibério;3;parking2;2;102;5;0;0;0;0
691206;395000;Rua Júlio Cesar; Parque Dez de Novembro;3;parking2;1;95;6;0;0;0;0
210188;424000;Rua Guido Rossini Neto; Jardim Roseira;3;parking2;2;130;6;1;0;0;0
637599;280000;Rua General Câmara; Ipiranga;2;parking2;1;101;6;0;0;0;0
993219;678000;Rua João Tibiriçá; Lapa;2;parking1;2;55;2;1;0;0;0
601304;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
89017;60000;Centro; Piracaia;1;0;1;600;8;0;0;0;0
910591;430000;Rua Cravinhos; Jardim Paulistano;3;parking2;3;170;6;1;0;0;0
64243;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
905556;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0
745588;35000;Estrada do Ouro Fino; Centro;1;0;1;1000;8;0;0;0;0
419226;35000;Rua Santa Isabel; Ouro Fino;1;0;1;1000;8;0;0;0;0
17767;410000;Rua Jácomo Natal Granzotto; Parque Residencial Cândido Portinari;3;parking2;2;150;6;1;0;0;0
711616;35000;Estrada Bairro Ouro Fino; Ouro Fino;1;0;1;1000;8;0;0;0;0
7346;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0
566613;45000;Boa Vista; Igaratá;1;0;1;500;8;0;0;0;0
121682;49999;Avenida Antonio de Oliveira; Rio Acima;1;0;1;1000;8;0;0;0;0
293259;60000;Rua José Prianti Sobrinho; Centro;1;0;1;600;8;0;0;0;0
982029;50000;Travessa Alcebíades Fagundes; Centro;1;0;1;1000;8;0;0;0;0
50609;49900;Rua José Alvim; Centro;1;0;1;600;8;0;0;0;0
714887;890000;Avenida Santa Cruz; Santa Cruz;3;parking2;4;150;9;0;0;0;0
575345;45000;Rua José Prianti Sobrinho; Centro;1;0;1;1000;8;0;0;0;0
772362;35000;Rua Santa Isabel; Ouro Fino;1;0;1;1000;8;0;0;0;0
451065;440000;Rua Adalberto Pajuaba; Sumarezinho;3;parking2;2;120;6;1;0;0;0
279657;250000;Avenida Ivo Pareschi; Planalto Verde I;3;parking2;1;100;6;1;0;0;0
279910;410010;Avenida Augusto Franco; Getúlio Vargas;3;parking1;2;78;2;0;0;0;0
995790;60000;Rua José Prianti Sobrinho; Centro;1;0;1;600;8;0;0;0;0
